"특성별(1)","특성별(2)","특성별(3)",특성별(4),시점,방문고객및배달테이크아웃수별(1),방문고객및배달테이크아웃수별(2),원데이터,전년 대비 증감,증감률
"업종별","일반음식점 외","기타 음식점업",치킨전문점,2021,테이크아웃 수,50인분 이상 (%),1.0,-0.6,-37.5
"업종별","일반음식점 외","기타 음식점업",치킨전문점,2021,테이크아웃 수,평균 (인분),9.9,3.1,45.6
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,2021,방문 고객수,20명 미만 (%),29.9,5.0,20.1
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,2021,방문 고객수,20~30명 미만 (%),16.0,1.6,11.1
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,2021,방문 고객수,30~50명 미만 (%),23.3,1.6,7.4
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,2021,방문 고객수,50~100명 미만 (%),20.0,-9.7,-32.7
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,2021,방문 고객수,100명 이상 (%),10.8,1.5,16.1
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,2021,방문 고객수,평균 (명),39.1,-4.1,-9.5
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,2021,배달 수,없음 (%),46.4,-18.9,-28.9
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,2021,배달 수,10인분 미만 (%),9.2,2.5,37.3
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,2021,배달 수,10~20인분 미만 (%),16.2,7.1,78.0
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,2021,배달 수,20~30인분 미만 (%),10.9,2.7,32.9
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,2021,배달 수,30~50인분 미만 (%),10.7,3.0,39.0
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,2021,배달 수,50인분 이상 (%),6.6,3.5,112.9
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,2021,배달 수,평균 (인분),13.5,5.6,70.9
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,2021,테이크아웃 수,없음 (%),13.7,-0.6,-4.2
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,2021,테이크아웃 수,10인분 미만 (%),22.1,5.9,36.4
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,2021,테이크아웃 수,10~20인분 미만 (%),22.1,-3.7,-14.3
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,2021,테이크아웃 수,20~30인분 미만 (%),16.1,-0.6,-3.6
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,2021,테이크아웃 수,30~50인분 미만 (%),13.5,0.7,5.5
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,2021,테이크아웃 수,50인분 이상 (%),12.4,-1.7,-12.1
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,2021,테이크아웃 수,평균 (인분),21.4,-1.9,-8.2
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,2021,방문 고객수,20명 미만 (%),71.9,14.1,24.4
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,2021,방문 고객수,20~30명 미만 (%),7.5,-0.7,-8.5
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,2021,방문 고객수,30~50명 미만 (%),9.0,0.7,8.4
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,2021,방문 고객수,50~100명 미만 (%),7.4,-10.1,-57.7
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,2021,방문 고객수,100명 이상 (%),4.2,-4.0,-48.8
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,2021,방문 고객수,평균 (명),22.1,-12.6,-36.3
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,2021,배달 수,없음 (%),50.7,-12.1,-19.3
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,2021,배달 수,10인분 미만 (%),16.8,4.2,33.3
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,2021,배달 수,10~20인분 미만 (%),7.7,2.8,57.1
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,2021,배달 수,20~30인분 미만 (%),7.7,4.4,133.3
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,2021,배달 수,30~50인분 미만 (%),7.5,-4.8,-39.0
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,2021,배달 수,50인분 이상 (%),9.5,5.3,126.2
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,2021,배달 수,평균 (인분),11.6,2.7,30.3
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,2021,테이크아웃 수,없음 (%),11.2,-7.9,-41.4
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,2021,테이크아웃 수,10인분 미만 (%),29.0,12.7,77.9
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,2021,테이크아웃 수,10~20인분 미만 (%),10.9,-1.9,-14.8
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,2021,테이크아웃 수,20~30인분 미만 (%),17.0,8.9,109.9
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,2021,테이크아웃 수,30~50인분 미만 (%),19.1,2.4,14.4
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,2021,테이크아웃 수,50인분 이상 (%),12.8,-14.2,-52.6
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,2021,테이크아웃 수,평균 (인분),28.0,-1.1,-3.8
"업종별","일반음식점 외","주점업",소계,2021,방문 고객수,20명 미만 (%),39.5,3.3,9.1
"업종별","일반음식점 외","주점업",소계,2021,방문 고객수,20~30명 미만 (%),22.7,0.2,0.9
"업종별","일반음식점 외","주점업",소계,2021,방문 고객수,30~50명 미만 (%),27.9,3.2,13.0
"업종별","일반음식점 외","주점업",소계,2021,방문 고객수,50~100명 미만 (%),8.1,-6.7,-45.3
"업종별","일반음식점 외","주점업",소계,2021,방문 고객수,100명 이상 (%),1.8,0.0,0.0
"업종별","일반음식점 외","주점업",소계,2021,방문 고객수,평균 (명),24.9,-4.0,-13.8
"업종별","일반음식점 외","주점업",소계,2021,배달 수,없음 (%),90.9,-2.4,-2.6
"업종별","일반음식점 외","주점업",소계,2021,배달 수,10인분 미만 (%),2.5,-0.2,-7.4
"업종별","일반음식점 외","주점업",소계,2021,배달 수,10~20인분 미만 (%),3.9,1.6,69.6
"업종별","일반음식점 외","주점업",소계,2021,배달 수,20~30인분 미만 (%),1.6,0.3,23.1
"업종별","일반음식점 외","주점업",소계,2021,배달 수,30~50인분 미만 (%),0.7,0.3,75.0
"업종별","일반음식점 외","주점업",소계,2021,배달 수,50인분 이상 (%),0.4,,
"업종별","일반음식점 외","주점업",소계,2021,배달 수,평균 (인분),1.4,0.6,75.0
"업종별","일반음식점 외","주점업",소계,2021,테이크아웃 수,없음 (%),82.5,-0.9,-1.1
"업종별","일반음식점 외","주점업",소계,2021,테이크아웃 수,10인분 미만 (%),13.6,-0.3,-2.2
"업종별","일반음식점 외","주점업",소계,2021,테이크아웃 수,10~20인분 미만 (%),3.0,0.6,25.0
"업종별","일반음식점 외","주점업",소계,2021,테이크아웃 수,20~30인분 미만 (%),0.6,,
"업종별","일반음식점 외","주점업",소계,2021,테이크아웃 수,30~50인분 미만 (%),0.3,0.0,0.0
"업종별","일반음식점 외","주점업",소계,2021,테이크아웃 수,50인분 이상 (%),0.0,,
"업종별","일반음식점 외","주점업",소계,2021,테이크아웃 수,평균 (인분),1.0,0.1,11.1
"업종별","일반음식점 외","비알콜 음료점업",소계,2021,방문 고객수,20명 미만 (%),12.2,-2.9,-19.2
"업종별","일반음식점 외","비알콜 음료점업",소계,2021,방문 고객수,20~30명 미만 (%),9.0,-3.0,-25.0
"업종별","일반음식점 외","비알콜 음료점업",소계,2021,방문 고객수,30~50명 미만 (%),34.8,5.9,20.4
"업종별","일반음식점 외","비알콜 음료점업",소계,2021,방문 고객수,50~100명 미만 (%),30.0,0.6,2.0
"업종별","일반음식점 외","비알콜 음료점업",소계,2021,방문 고객수,100명 이상 (%),13.9,-0.8,-5.4
"업종별","일반음식점 외","비알콜 음료점업",소계,2021,방문 고객수,평균 (명),55.2,0.1,0.2
"업종별","일반음식점 외","비알콜 음료점업",소계,2021,배달 수,없음 (%),62.6,-20.4,-24.6
"업종별","일반음식점 외","비알콜 음료점업",소계,2021,배달 수,10인분 미만 (%),7.1,1.4,24.6
"업종별","일반음식점 외","비알콜 음료점업",소계,2021,배달 수,10~20인분 미만 (%),14.8,9.3,169.1
"업종별","일반음식점 외","비알콜 음료점업",소계,2021,배달 수,20~30인분 미만 (%),6.0,2.5,71.4
"업종별","일반음식점 외","비알콜 음료점업",소계,2021,배달 수,30~50인분 미만 (%),6.8,5.1,300.0
"업종별","일반음식점 외","비알콜 음료점업",소계,2021,배달 수,50인분 이상 (%),2.7,2.0,285.7
"업종별","일반음식점 외","비알콜 음료점업",소계,2021,배달 수,평균 (인분),7.3,4.8,192.0
"업종별","일반음식점 외","비알콜 음료점업",소계,2021,테이크아웃 수,없음 (%),13.2,-2.0,-13.2
"업종별","일반음식점 외","비알콜 음료점업",소계,2021,테이크아웃 수,10인분 미만 (%),12.9,,
"업종별","일반음식점 외","비알콜 음료점업",소계,2021,테이크아웃 수,10~20인분 미만 (%),13.3,4.5,51.1
"업종별","일반음식점 외","비알콜 음료점업",소계,2021,테이크아웃 수,20~30인분 미만 (%),17.7,5.1,40.5
"업종별","일반음식점 외","비알콜 음료점업",소계,2021,테이크아웃 수,30~50인분 미만 (%),19.2,-10.0,-34.2
"업종별","일반음식점 외","비알콜 음료점업",소계,2021,테이크아웃 수,50인분 이상 (%),23.6,-10.6,-31.0
"업종별","일반음식점 외","비알콜 음료점업",소계,2021,테이크아웃 수,평균 (인분),30.5,-13.1,-30.0
"운영형태별","프랜차이즈","소계",소계,2021,방문 고객수,20명 미만 (%),33.1,3.4,11.4
"운영형태별","프랜차이즈","소계",소계,2021,방문 고객수,20~30명 미만 (%),10.1,-1.3,-11.4
"운영형태별","프랜차이즈","소계",소계,2021,방문 고객수,30~50명 미만 (%),21.6,5.1,30.9
"운영형태별","프랜차이즈","소계",소계,2021,방문 고객수,50~100명 미만 (%),20.2,-4.4,-17.9
"운영형태별","프랜차이즈","소계",소계,2021,방문 고객수,100명 이상 (%),15.1,-2.7,-15.2
"운영형태별","프랜차이즈","소계",소계,2021,방문 고객수,평균 (명),52.7,-11.4,-17.8
"운영형태별","프랜차이즈","소계",소계,2021,배달 수,없음 (%),34.0,-16.3,-32.4
"운영형태별","프랜차이즈","소계",소계,2021,배달 수,10인분 미만 (%),9.2,-0.4,-4.2
"운영형태별","프랜차이즈","소계",소계,2021,배달 수,10~20인분 미만 (%),20.3,6.5,47.1
"운영형태별","프랜차이즈","소계",소계,2021,배달 수,20~30인분 미만 (%),14.9,6.7,81.7
"운영형태별","프랜차이즈","소계",소계,2021,배달 수,30~50인분 미만 (%),14.3,2.5,21.2
"운영형태별","프랜차이즈","소계",소계,2021,배달 수,50인분 이상 (%),7.2,0.9,14.3
"운영형태별","프랜차이즈","소계",소계,2021,배달 수,평균 (인분),16.7,3.6,27.5
"운영형태별","프랜차이즈","소계",소계,2021,테이크아웃 수,없음 (%),18.7,-11.0,-37.0
"운영형태별","프랜차이즈","소계",소계,2021,테이크아웃 수,10인분 미만 (%),27.8,5.0,21.9
"운영형태별","프랜차이즈","소계",소계,2021,테이크아웃 수,10~20인분 미만 (%),20.7,6.4,44.8
"운영형태별","프랜차이즈","소계",소계,2021,테이크아웃 수,20~30인분 미만 (%),10.7,3.1,40.8
"운영형태별","프랜차이즈","소계",소계,2021,테이크아웃 수,30~50인분 미만 (%),9.5,2.2,30.1
"운영형태별","프랜차이즈","소계",소계,2021,테이크아웃 수,50인분 이상 (%),12.7,-5.7,-31.0
"운영형태별","프랜차이즈","소계",소계,2021,테이크아웃 수,평균 (인분),21.2,-4.6,-17.8
"운영형태별","비프랜차이즈","소계",소계,2021,방문 고객수,20명 미만 (%),27.6,1.7,6.6
"운영형태별","비프랜차이즈","소계",소계,2021,방문 고객수,20~30명 미만 (%),16.4,0.3,1.9
"운영형태별","비프랜차이즈","소계",소계,2021,방문 고객수,30~50명 미만 (%),28.8,2.9,11.2
"운영형태별","비프랜차이즈","소계",소계,2021,방문 고객수,50~100명 미만 (%),21.3,-3.2,-13.1
"운영형태별","비프랜차이즈","소계",소계,2021,방문 고객수,100명 이상 (%),6.0,-1.6,-21.1
"운영형태별","비프랜차이즈","소계",소계,2021,방문 고객수,평균 (명),38.0,-3.7,-8.9
"운영형태별","비프랜차이즈","소계",소계,2021,배달 수,없음 (%),74.2,-8.3,-10.1
"운영형태별","비프랜차이즈","소계",소계,2021,배달 수,10인분 미만 (%),7.4,3.0,68.2
"운영형태별","비프랜차이즈","소계",소계,2021,배달 수,10~20인분 미만 (%),6.9,1.7,32.7
"운영형태별","비프랜차이즈","소계",소계,2021,배달 수,20~30인분 미만 (%),4.3,1.5,53.6
"운영형태별","비프랜차이즈","소계",소계,2021,배달 수,30~50인분 미만 (%),4.3,1.3,43.3
"운영형태별","비프랜차이즈","소계",소계,2021,배달 수,50인분 이상 (%),2.9,0.9,45.0
"운영형태별","비프랜차이즈","소계",소계,2021,배달 수,평균 (인분),5.6,1.6,40.0
"운영형태별","비프랜차이즈","소계",소계,2021,테이크아웃 수,없음 (%),52.6,-10.4,-16.5
"운영형태별","비프랜차이즈","소계",소계,2021,테이크아웃 수,10인분 미만 (%),20.4,5.6,37.8
"운영형태별","비프랜차이즈","소계",소계,2021,테이크아웃 수,10~20인분 미만 (%),10.4,2.0,23.8
"운영형태별","비프랜차이즈","소계",소계,2021,테이크아웃 수,20~30인분 미만 (%),7.2,3.4,89.5
"운영형태별","비프랜차이즈","소계",소계,2021,테이크아웃 수,30~50인분 미만 (%),5.1,-0.3,-5.6
"운영형태별","비프랜차이즈","소계",소계,2021,테이크아웃 수,50인분 이상 (%),4.2,-0.3,-6.7
"운영형태별","비프랜차이즈","소계",소계,2021,테이크아웃 수,평균 (인분),9.0,1.2,15.4
"지역별","서울권","소계",소계,2021,방문 고객수,20명 미만 (%),15.7,-1.5,-8.7
"지역별","서울권","소계",소계,2021,방문 고객수,20~30명 미만 (%),13.0,3.2,32.7
"지역별","서울권","소계",소계,2021,방문 고객수,30~50명 미만 (%),28.6,9.0,45.9
"지역별","서울권","소계",소계,2021,방문 고객수,50~100명 미만 (%),27.1,-4.7,-14.8
"지역별","서울권","소계",소계,2021,방문 고객수,100명 이상 (%),15.7,-5.9,-27.3
"지역별","서울권","소계",소계,2021,방문 고객수,평균 (명),55.5,-13.7,-19.8
"지역별","서울권","소계",소계,2021,배달 수,없음 (%),67.6,-9.0,-11.7
"지역별","서울권","소계",소계,2021,배달 수,10인분 미만 (%),8.2,3.2,64.0
"지역별","서울권","소계",소계,2021,배달 수,10~20인분 미만 (%),6.5,0.6,10.2
"지역별","서울권","소계",소계,2021,배달 수,20~30인분 미만 (%),6.7,2.6,63.4
"지역별","서울권","소계",소계,2021,배달 수,30~50인분 미만 (%),6.4,0.6,10.3
"지역별","서울권","소계",소계,2021,배달 수,50인분 이상 (%),4.6,1.9,70.4
"지역별","서울권","소계",소계,2021,배달 수,평균 (인분),7.9,1.8,29.5
"지역별","서울권","소계",소계,2021,테이크아웃 수,없음 (%),39.1,-0.3,-0.8
"지역별","서울권","소계",소계,2021,테이크아웃 수,10인분 미만 (%),20.5,4.1,25.0
"지역별","서울권","소계",소계,2021,테이크아웃 수,10~20인분 미만 (%),12.2,-1.4,-10.3
"지역별","서울권","소계",소계,2021,테이크아웃 수,20~30인분 미만 (%),7.4,1.4,23.3
"지역별","서울권","소계",소계,2021,테이크아웃 수,30~50인분 미만 (%),8.8,-0.2,-2.2
"지역별","서울권","소계",소계,2021,테이크아웃 수,50인분 이상 (%),12.1,-3.5,-22.4
"지역별","서울권","소계",소계,2021,테이크아웃 수,평균 (인분),17.8,-5.0,-21.9
"지역별","수도권","소계",소계,2021,방문 고객수,20명 미만 (%),31.6,6.5,25.9
"지역별","수도권","소계",소계,2021,방문 고객수,20~30명 미만 (%),15.9,2.6,19.5
"지역별","수도권","소계",소계,2021,방문 고객수,30~50명 미만 (%),24.0,4.5,23.1
"지역별","수도권","소계",소계,2021,방문 고객수,50~100명 미만 (%),19.6,-10.2,-34.2
"지역별","수도권","소계",소계,2021,방문 고객수,100명 이상 (%),8.9,-3.4,-27.6
"지역별","수도권","소계",소계,2021,방문 고객수,평균 (명),41.4,-11.1,-21.1
"지역별","수도권","소계",소계,2021,배달 수,없음 (%),64.5,-11.2,-14.8
"지역별","수도권","소계",소계,2021,배달 수,10인분 미만 (%),6.9,1.4,25.5
"지역별","수도권","소계",소계,2021,배달 수,10~20인분 미만 (%),10.8,3.3,44.0
"지역별","수도권","소계",소계,2021,배달 수,20~30인분 미만 (%),7.3,3.6,97.3
"지역별","수도권","소계",소계,2021,배달 수,30~50인분 미만 (%),6.2,1.0,19.2
"지역별","수도권","소계",소계,2021,배달 수,50인분 이상 (%),4.3,2.0,87.0
"지역별","수도권","소계",소계,2021,배달 수,평균 (인분),8.5,2.7,46.6
"지역별","수도권","소계",소계,2021,테이크아웃 수,없음 (%),44.8,-8.9,-16.6
"지역별","수도권","소계",소계,2021,테이크아웃 수,10인분 미만 (%),24.3,5.7,30.6
"지역별","수도권","소계",소계,2021,테이크아웃 수,10~20인분 미만 (%),13.3,3.9,41.5
"지역별","수도권","소계",소계,2021,테이크아웃 수,20~30인분 미만 (%),5.6,1.3,30.2
"지역별","수도권","소계",소계,2021,테이크아웃 수,30~50인분 미만 (%),5.5,-0.4,-6.8
"지역별","수도권","소계",소계,2021,테이크아웃 수,50인분 이상 (%),6.5,-1.6,-19.8
"지역별","수도권","소계",소계,2021,테이크아웃 수,평균 (인분),10.6,-0.9,-7.8
"지역별","충청권","소계",소계,2021,방문 고객수,20명 미만 (%),14.5,1.9,15.1
"지역별","충청권","소계",소계,2021,방문 고객수,20~30명 미만 (%),17.4,-1.4,-7.4
"지역별","충청권","소계",소계,2021,방문 고객수,30~50명 미만 (%),38.6,-1.1,-2.8
"지역별","충청권","소계",소계,2021,방문 고객수,50~100명 미만 (%),26.8,3.0,12.6
"지역별","충청권","소계",소계,2021,방문 고객수,100명 이상 (%),2.7,-2.4,-47.1
"지역별","충청권","소계",소계,2021,방문 고객수,평균 (명),41.3,-0.9,-2.1
"지역별","충청권","소계",소계,2021,배달 수,없음 (%),57.5,-15.0,-20.7
"지역별","충청권","소계",소계,2021,배달 수,10인분 미만 (%),3.2,-1.4,-30.4
"지역별","충청권","소계",소계,2021,배달 수,10~20인분 미만 (%),16.2,9.6,145.5
"지역별","충청권","소계",소계,2021,배달 수,20~30인분 미만 (%),10.0,5.3,112.8
"지역별","충청권","소계",소계,2021,배달 수,30~50인분 미만 (%),9.2,2.4,35.3
"지역별","충청권","소계",소계,2021,배달 수,50인분 이상 (%),4.0,-0.6,-13.0
"지역별","충청권","소계",소계,2021,배달 수,평균 (인분),10.3,2.7,35.5
"지역별","충청권","소계",소계,2021,테이크아웃 수,없음 (%),21.9,-24.2,-52.5
"지역별","충청권","소계",소계,2021,테이크아웃 수,10인분 미만 (%),19.9,2.3,13.1
"지역별","충청권","소계",소계,2021,테이크아웃 수,10~20인분 미만 (%),24.5,7.6,45.0
"지역별","충청권","소계",소계,2021,테이크아웃 수,20~30인분 미만 (%),20.6,12.3,148.2
"지역별","충청권","소계",소계,2021,테이크아웃 수,30~50인분 미만 (%),10.9,4.7,75.8
"지역별","충청권","소계",소계,2021,테이크아웃 수,50인분 이상 (%),2.2,-2.7,-55.1
"지역별","충청권","소계",소계,2021,테이크아웃 수,평균 (인분),14.6,3.8,35.2
"지역별","호남권","소계",소계,2021,방문 고객수,20명 미만 (%),36.1,-3.8,-9.5
"지역별","호남권","소계",소계,2021,방문 고객수,20~30명 미만 (%),16.9,-1.5,-8.2
"지역별","호남권","소계",소계,2021,방문 고객수,30~50명 미만 (%),25.0,2.0,8.7
"지역별","호남권","소계",소계,2021,방문 고객수,50~100명 미만 (%),15.8,-0.8,-4.8
"지역별","호남권","소계",소계,2021,방문 고객수,100명 이상 (%),6.3,4.1,186.4
"지역별","호남권","소계",소계,2021,방문 고객수,평균 (명),33.0,4.3,15.0
"지역별","호남권","소계",소계,2021,배달 수,없음 (%),74.8,2.8,3.9
"지역별","호남권","소계",소계,2021,배달 수,10인분 미만 (%),8.0,4.2,110.5
"지역별","호남권","소계",소계,2021,배달 수,10~20인분 미만 (%),5.9,-4.2,-41.6
"지역별","호남권","소계",소계,2021,배달 수,20~30인분 미만 (%),3.8,-3.9,-50.6
"지역별","호남권","소계",소계,2021,배달 수,30~50인분 미만 (%),4.6,0.5,12.2
"지역별","호남권","소계",소계,2021,배달 수,50인분 이상 (%),3.0,0.7,30.4
"지역별","호남권","소계",소계,2021,배달 수,평균 (인분),5.2,-1.1,-17.5
"지역별","호남권","소계",소계,2021,테이크아웃 수,없음 (%),73.8,-3.5,-4.5
"지역별","호남권","소계",소계,2021,테이크아웃 수,10인분 미만 (%),9.7,0.4,4.3
"지역별","호남권","소계",소계,2021,테이크아웃 수,10~20인분 미만 (%),5.8,3.4,141.7
"지역별","호남권","소계",소계,2021,테이크아웃 수,20~30인분 미만 (%),2.9,-0.9,-23.7
"지역별","호남권","소계",소계,2021,테이크아웃 수,30~50인분 미만 (%),3.2,-0.1,-3.0
"지역별","호남권","소계",소계,2021,테이크아웃 수,50인분 이상 (%),4.6,0.8,21.1
"지역별","호남권","소계",소계,2021,테이크아웃 수,평균 (인분),6.6,0.9,15.8
"지역별","경남권","소계",소계,2021,방문 고객수,20명 미만 (%),45.5,2.4,5.6
"지역별","경남권","소계",소계,2021,방문 고객수,20~30명 미만 (%),14.8,-0.7,-4.5
"지역별","경남권","소계",소계,2021,방문 고객수,30~50명 미만 (%),22.9,4.4,23.8
"지역별","경남권","소계",소계,2021,방문 고객수,50~100명 미만 (%),12.7,-3.8,-23.0
"지역별","경남권","소계",소계,2021,방문 고객수,100명 이상 (%),4.1,-2.3,-35.9
"지역별","경남권","소계",소계,2021,방문 고객수,평균 (명),32.0,-6.8,-17.5
"지역별","경남권","소계",소계,2021,배달 수,없음 (%),57.7,-17.4,-23.2
"지역별","경남권","소계",소계,2021,배달 수,10인분 미만 (%),12.8,6.7,109.8
"지역별","경남권","소계",소계,2021,배달 수,10~20인분 미만 (%),13.4,5.1,61.4
"지역별","경남권","소계",소계,2021,배달 수,20~30인분 미만 (%),5.7,2.6,83.9
"지역별","경남권","소계",소계,2021,배달 수,30~50인분 미만 (%),7.1,3.0,73.2
"지역별","경남권","소계",소계,2021,배달 수,50인분 이상 (%),3.1,-0.1,-3.1
"지역별","경남권","소계",소계,2021,배달 수,평균 (인분),8.7,3.1,55.4
"지역별","경남권","소계",소계,2021,테이크아웃 수,없음 (%),46.3,-16.4,-26.2
"지역별","경남권","소계",소계,2021,테이크아웃 수,10인분 미만 (%),28.3,12.7,81.4
"지역별","경남권","소계",소계,2021,테이크아웃 수,10~20인분 미만 (%),11.3,4.3,61.4
"지역별","경남권","소계",소계,2021,테이크아웃 수,20~30인분 미만 (%),5.8,3.4,141.7
"지역별","경남권","소계",소계,2021,테이크아웃 수,30~50인분 미만 (%),4.5,0.2,4.7
"지역별","경남권","소계",소계,2021,테이크아웃 수,50인분 이상 (%),3.8,-4.1,-51.9
"지역별","경남권","소계",소계,2021,테이크아웃 수,평균 (인분),9.3,-2.2,-19.1
"지역별","경북권","소계",소계,2021,방문 고객수,20명 미만 (%),40.0,7.4,22.7
"지역별","경북권","소계",소계,2021,방문 고객수,20~30명 미만 (%),10.8,-7.0,-39.3
"지역별","경북권","소계",소계,2021,방문 고객수,30~50명 미만 (%),21.9,-3.0,-12.0
"지역별","경북권","소계",소계,2021,방문 고객수,50~100명 미만 (%),19.9,1.6,8.7
"지역별","경북권","소계",소계,2021,방문 고객수,100명 이상 (%),7.4,1.0,15.6
"지역별","경북권","소계",소계,2021,방문 고객수,평균 (명),36.7,0.2,0.5
"지역별","경북권","소계",소계,2021,배달 수,없음 (%),61.8,-3.6,-5.5
"지역별","경북권","소계",소계,2021,배달 수,10인분 미만 (%),8.4,-2.8,-25.0
"지역별","경북권","소계",소계,2021,배달 수,10~20인분 미만 (%),9.3,1.1,13.4
"지역별","경북권","소계",소계,2021,배달 수,20~30인분 미만 (%),7.8,3.7,90.2
"지역별","경북권","소계",소계,2021,배달 수,30~50인분 미만 (%),8.4,2.1,33.3
"지역별","경북권","소계",소계,2021,배달 수,50인분 이상 (%),4.3,-0.4,-8.5
"지역별","경북권","소계",소계,2021,배달 수,평균 (인분),10.0,1.8,22.0
"지역별","경북권","소계",소계,2021,테이크아웃 수,없음 (%),51.5,-5.1,-9.0
"지역별","경북권","소계",소계,2021,테이크아웃 수,10인분 미만 (%),26.3,4.2,19.0
"지역별","경북권","소계",소계,2021,테이크아웃 수,10~20인분 미만 (%),8.4,1.3,18.3
"지역별","경북권","소계",소계,2021,테이크아웃 수,20~30인분 미만 (%),6.4,2.2,52.4
"지역별","경북권","소계",소계,2021,테이크아웃 수,30~50인분 미만 (%),1.9,-2.7,-58.7
"지역별","경북권","소계",소계,2021,테이크아웃 수,50인분 이상 (%),5.6,0.0,0.0
"지역별","경북권","소계",소계,2021,테이크아웃 수,평균 (인분),9.7,0.5,5.4
"매출액규모별","5천만원 미만","소계",소계,2021,방문 고객수,20명 미만 (%),66.5,-4.1,-5.8
"매출액규모별","5천만원 미만","소계",소계,2021,방문 고객수,20~30명 미만 (%),15.0,-2.1,-12.3
"매출액규모별","5천만원 미만","소계",소계,2021,방문 고객수,30~50명 미만 (%),10.7,0.2,1.9
"매출액규모별","5천만원 미만","소계",소계,2021,방문 고객수,50~100명 미만 (%),5.9,4.1,227.8
"매출액규모별","5천만원 미만","소계",소계,2021,방문 고객수,100명 이상 (%),2.0,,
"매출액규모별","5천만원 미만","소계",소계,2021,방문 고객수,평균 (명),17.4,3.8,27.9
"매출액규모별","5천만원 미만","소계",소계,2021,배달 수,없음 (%),79.0,-5.2,-6.2
"매출액규모별","5천만원 미만","소계",소계,2021,배달 수,10인분 미만 (%),9.9,2.7,37.5
"매출액규모별","5천만원 미만","소계",소계,2021,배달 수,10~20인분 미만 (%),3.7,-2.1,-36.2
"매출액규모별","5천만원 미만","소계",소계,2021,배달 수,20~30인분 미만 (%),2.9,1.2,70.6
"매출액규모별","5천만원 미만","소계",소계,2021,배달 수,30~50인분 미만 (%),3.5,2.5,250.0
"매출액규모별","5천만원 미만","소계",소계,2021,배달 수,50인분 이상 (%),1.0,,
"매출액규모별","5천만원 미만","소계",소계,2021,배달 수,평균 (인분),3.6,1.7,89.5
"매출액규모별","5천만원 미만","소계",소계,2021,테이크아웃 수,없음 (%),56.3,-10.0,-15.1
"매출액규모별","5천만원 미만","소계",소계,2021,테이크아웃 수,10인분 미만 (%),25.3,13.4,112.6
"매출액규모별","5천만원 미만","소계",소계,2021,테이크아웃 수,10~20인분 미만 (%),7.9,0.8,11.3
"매출액규모별","5천만원 미만","소계",소계,2021,테이크아웃 수,20~30인분 미만 (%),4.8,-0.2,-4.0
